,,,,,,,21-Nov,,,,21-Dec,,,,22-Jan,,,,22-Feb,,,,22-Mar,,,,22-Apr,,,,22-May,,,,22-Jun,,,,22-Jul,,,,22-Aug,,,,22-Sep,,,,22-Oct,,,,22-Nov,,,
PACT Projects,Dev_Number,Dev_Name,DEVELOPMENT,TDS#,BOROUGH,NY CITY COUNCIL DISTRICT,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies,Occupied,Move-In/Selected,Non-Dwelling,Vacancies
,49,MARBLE HILL,MARBLE HILL,49,BRONX,"10, 11, 14",1629,18,4,31,1625,20,4,33,1621,28,4,29,1616,32,4,30,1610,36,4,32,1608,39,4,31,1606,38,4,34,1604,33,4,41,1600,36,3,43,1601,39,3,39,1601,35,3,43,1605,26,3,48,1605,22,3,52
,59,FOREST,FOREST,59,BRONX,16,1307,35,7,1,1304,35,7,4,1305,33,5,7,1308,33,5,4,1309,22,5,14,1304,24,8,14,1301,22,7,20,1302,21,7,20,1296,23,7,24,1294,19,7,30,1289,18,7,36,1285,16,8,41,1286,11,8,45
,80,CASTLE HILL,CASTLE HILL,80,BRONX,18,1966,35,1,23,1960,39,1,25,1965,31,1,28,1969,27,1,28,1966,32,1,26,1964,33,1,27,1963,39,2,21,1963,35,2,25,1962,35,2,26,1964,33,2,26,1966,28,2,29,1960,25,2,38,1958,22,2,43
y,57,EDENWALD,EDENWALD,57,BRONX,12,2002,10,20,7,1993,9,28,9,1986,7,38,8,1982,7,45,5,1971,16,45,7,1966,16,45,12,1962,15,45,17,1956,15,45,23,1955,13,46,25,1950,13,46,30,1944,13,46,36,1944,11,47,37,1943,10,47,39
y,93,SAINT MARY'S PARK,SAINT MARY'S PARK,93,BRONX,17,973,15,2,17,971,15,2,19,971,14,3,19,970,16,4,17,969,17,4,17,967,17,3,20,964,17,3,23,961,16,3,27,960,17,3,27,959,17,2,29,958,17,2,30,958,13,2,34,954,12,3,38
,157,BRONX RIVER ADDITION,BRONX RIVER ADDITION,157,BRONX,18,222,3,1,0,222,2,2,0,222,1,2,1,222,1,2,1,221,1,2,2,220,1,2,3,219,2,2,3,216,0,8,2,212,3,8,3,209,6,9,2,202,7,14,3,185,7,14,20,166,7,15,38
,145,MITCHEL,MITCHEL,145,BRONX,8,1708,15,7,2,1704,19,7,2,1704,19,8,1,1697,24,10,1,1694,27,9,2,1693,27,9,3,1689,27,9,7,1687,26,9,10,1684,25,10,13,1683,24,10,15,1677,22,10,23,1677,17,10,28,1674,16,10,32
,67,SOTOMAYOR,SOTOMAYOR HOUSES,67,BRONX,18,1463,18,4,12,1461,26,4,6,1461,27,3,6,1458,30,3,6,1447,34,4,12,1445,35,10,7,1445,32,10,10,1438,36,10,13,1441,34,10,12,1439,34,10,14,1437,31,10,19,1435,29,10,23,1438,24,5,30
,24,PATTERSON,PATTERSON,24,BRONX,8,1754,29,6,2,1753,30,6,2,1751,32,6,2,1751,32,6,2,1749,28,6,8,1748,29,7,7,1745,28,7,11,1745,26,7,13,1736,25,7,23,1739,20,8,24,1735,20,8,28,1734,19,10,28,1738,13,11,29
